promo_id,campaign_code
PROMO-0039-0001,PROMO-0039
PROMO-0029-0002,PROMO-0029
PROMO-0015-0003,PROMO-0015
PROMO-0043-0004,PROMO-0043
PROMO-0008-0005,PROMO-0008
PROMO-0021-0006,PROMO-0021
PROMO-0039-0007,PROMO-0039
PROMO-0019-0008,PROMO-0019
PROMO-0023-0009,PROMO-0023
PROMO-0011-0010,PROMO-0011
PROMO-0011-0011,PROMO-0011
PROMO-0024-0012,PROMO-0024
PROMO-0036-0013,PROMO-0036
PROMO-0040-0014,PROMO-0040
PROMO-0024-0015,PROMO-0024
PROMO-0003-0016,PROMO-0003
PROMO-0022-0017,PROMO-0022
PROMO-0002-0018,PROMO-0002
PROMO-0019-0008,PROMO-0019
PROMO-0034-0074,PROMO-0034
PROMO-0034-0122,PROMO-0034
