product_id,product_name,category,segment
1,DragonWear MA-01,Casual,All-weather
3,DragonWear MA-03,Casual,All-weather
4,DragonWear MA-04,Casual,All-weather
5,DragonWear MA-05,Casual,All-weather
7,DragonWear MA-07,Casual,All-weather
8,DragonWear MA-08,Casual,All-weather
9,DragonWear MA-09,Casual,All-weather
10,DragonWear MA-10,Casual,All-weather
11,DragonWear MA-11,Casual,All-weather
12,DragonWear MA-12,Casual,All-weather
13,DragonWear MA-13,Casual,All-weather
14,DragonWear MA-14,Casual,All-weather
15,DragonWear MA-15,Casual,All-weather
17,DragonWear MA-17,Casual,All-weather
18,DragonWear MA-18,Casual,All-weather
19,DragonWear MA-19,Casual,All-weather
20,DragonWear MA-20,Casual,All-weather
21,DragonWear MA-21,Casual,All-weather
22,DragonWear MA-22,Casual,All-weather
23,DragonWear MA-23,Casual,All-weather
26,DragonWear MA-26,Casual,All-weather
27,DragonWear MA-27,Casual,All-weather
28,DragonWear MA-28,Casual,All-weather
29,DragonWear MA-29,Casual,All-weather
30,DragonWear MA-30,Casual,All-weather
31,DragonWear MA-31,Casual,All-weather
35,DragonWear MA-35,Casual,All-weather
36,DragonWear MA-36,Casual,All-weather
37,DragonWear MA-37,Casual,All-weather
38,DragonWear MA-38,Casual,All-weather
40,DragonWear MA-40,Casual,All-weather
42,DragonWear MA-42,Casual,All-weather
43,DragonWear MA-43,Casual,All-weather
45,DragonWear MA-45,Casual,All-weather
48,DragonWear RP-03,Outdoor,Activewear
49,DragonWear RP-04,Outdoor,Activewear
52,DragonWear RP-07,Outdoor,Activewear
53,DragonWear RP-08,Outdoor,Activewear
54,DragonWear RP-09,Outdoor,Activewear
55,DragonWear RP-10,Outdoor,Activewear
56,DragonWear RP-11,Outdoor,Activewear
57,DragonWear RP-12,Outdoor,Activewear
58,DragonWear RP-13,Outdoor,Activewear
59,DragonWear RP-14,Outdoor,Activewear
60,DragonWear RP-15,Outdoor,Activewear
61,DragonWear RP-16,Outdoor,Activewear
62,DragonWear RP-17,Outdoor,Activewear
63,DragonWear RP-18,Outdoor,Activewear
64,DragonWear RP-19,Outdoor,Activewear
65,DragonWear RP-20,Outdoor,Activewear
66,DragonWear RP-21,Outdoor,Activewear
67,DragonWear RP-22,Outdoor,Activewear
70,DragonWear RS-03,Outdoor,Premium
71,DragonWear RS-04,Outdoor,Premium
73,DragonWear RS-06,Outdoor,Premium
74,DragonWear UM-01,Streetwear,Balanced
76,DragonWear UM-03,Streetwear,Balanced
86,DragonWear UM-13,Streetwear,Balanced
88,DragonWear UM-15,Streetwear,Balanced
89,DragonWear UM-16,Streetwear,Balanced
92,DragonWear UM-19,Streetwear,Balanced
93,DragonWear UM-20,Streetwear,Balanced
94,DragonWear UM-21,Streetwear,Balanced
99,DragonWear UM-26,Streetwear,Balanced
100,DragonWear UM-27,Streetwear,Balanced
103,DragonWear UM-30,Streetwear,Balanced
106,DragonWear UM-33,Streetwear,Balanced
107,DragonWear UM-34,Streetwear,Balanced
108,DragonWear UM-35,Streetwear,Balanced
109,DragonWear UM-36,Streetwear,Balanced
111,DragonWear UM-38,Streetwear,Balanced
114,DragonWear UM-41,Streetwear,Balanced
115,DragonWear UM-42,Streetwear,Balanced
125,DragonWear UM-52,Streetwear,Balanced
133,DragonWear UR-04,Streetwear,Standard
136,DragonWear UR-07,Streetwear,Standard
141,DragonWear UR-12,Streetwear,Standard
