zip,city,region,district
1001,Bac Ninh,East,District #02
1002,Cam Pha,East,District #02
1005,Bac Giang,East,District #02
1007,Bac Ninh,East,District #02
1008,Ninh Binh,East,District #02
1009,Son Tay,East,District #02
1010,Cam Pha,East,District #02
1011,Ninh Binh,East,District #01
1012,Hai Phong,East,District #02
1013,Thai Nguyen,East,District #02
1020,Viet Tri,East,District #02
1021,Viet Tri,East,District #02
1022,Ninh Binh,East,District #02
1026,Hai Phong,East,District #01
1027,Hanoi,East,District #02
1028,Bac Giang,East,District #02
1029,Lao Cai,East,District #01
1030,Viet Tri,East,District #02
1031,Son Tay,East,District #02
1032,Hai Phong,East,District #02
1033,Lao Cai,East,District #02
1034,Hanoi,East,District #02
1035,Ha Long,East,District #02
1036,Ninh Binh,East,District #02
1037,Ninh Binh,East,District #02
1038,Son Tay,East,District #02
1039,Uong Bi,East,District #02
1040,Uong Bi,East,District #02
1050,Cam Pha,East,District #02
1053,Cam Pha,East,District #02
1054,Thai Nguyen,East,District #02
1056,Ninh Binh,East,District #02
1057,Thai Nguyen,East,District #02
1060,Viet Tri,East,District #02
1061,Cam Pha,East,District #02
1062,Uong Bi,East,District #02
1066,Thai Nguyen,East,District #02
1068,Bac Giang,East,District #02
1069,Bac Ninh,East,District #02
1070,Phu Ly,East,District #01
1071,Lao Cai,East,District #02
1072,Lao Cai,East,District #02
1073,Viet Tri,East,District #02
1074,Thai Nguyen,East,District #02
1075,Hanoi,East,District #02
1077,Phu Ly,East,District #02
1079,Lao Cai,East,District #02
1080,Bac Giang,East,District #02
1081,Ninh Binh,East,District #02
1082,Son Tay,East,District #02
1083,Cam Pha,East,District #02
1084,Uong Bi,East,District #01
1085,Ha Long,East,District #02
1089,Cam Pha,East,District #02
1090,Ha Long,East,District #02
1092,Hanoi,East,District #02
1093,Son Tay,East,District #02
1094,Thai Nguyen,East,District #02
1095,Thai Nguyen,East,District #02
1096,Uong Bi,East,District #02
1098,Lao Cai,East,District #01
1101,Lao Cai,East,District #02
1103,Bac Ninh,East,District #02
1104,Nam Dinh,East,District #02
1105,Lao Cai,East,District #02
1106,Uong Bi,East,District #02
1107,Lao Cai,East,District #02
