date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source
2013-01-02,10456,8151,47611,0.00406,120.5,organic_search
2013-01-08,9456,7459,31482,0.0044,192.4,paid_search
2013-01-12,8730,6136,33336,0.00386,193.3,paid_search
2013-01-16,9373,7503,37034,0.00446,284.4,paid_search
2013-01-20,10270,8030,35184,0.00501,283.9,email_campaign
2013-01-22,10100,7469,39597,0.00504,250.0,email_campaign
2013-01-27,8604,6327,44601,0.00554,222.6,referral
2013-02-01,15758,11220,63433,0.00409,116.7,organic_search
2013-02-03,14372,10507,72606,0.0043,215.7,social_media
2013-02-11,15063,11080,60064,0.00526,223.3,paid_search
2013-02-12,15368,11408,65858,0.00363,162.4,social_media
2013-02-26,15824,11642,60025,0.00333,169.9,social_media
2013-03-01,20573,15216,82066,0.0047,125.7,organic_search
2013-03-22,20729,16912,71130,0.00372,195.9,paid_search
2013-03-26,20555,16341,109308,0.00577,242.7,social_media
2013-03-29,19856,14231,93944,0.00555,218.4,social_media
2013-04-01,24812,17641,117628,0.00551,178.5,social_media
2013-04-05,32435,24802,158360,0.00421,269.6,organic_search
2013-04-17,29585,21004,94904,0.00452,105.9,social_media
2013-04-19,27256,21981,90395,0.00392,109.1,paid_search
2013-04-20,21636,15934,90602,0.00495,204.7,referral
2013-04-22,28085,22427,141532,0.00488,302.2,email_campaign
2013-04-26,25454,18300,131458,0.00556,204.8,social_media
2013-04-28,26593,20990,92764,0.00388,199.8,organic_search
2013-04-29,30100,21412,127202,0.00508,142.8,direct
2013-05-04,26616,18955,87588,0.00566,226.5,organic_search
2013-05-05,26820,19885,116224,0.00383,209.1,email_campaign
2013-05-07,28589,21318,147402,0.00555,197.7,organic_search
2013-05-17,24122,18498,132379,0.00353,308.1,organic_search
2013-05-22,25706,19005,88509,0.00537,198.2,social_media
2013-05-25,26078,21237,92476,0.00385,141.3,paid_search
2013-05-27,25522,20808,123734,0.005,267.2,social_media
2013-06-07,26823,18932,134357,0.00399,224.4,email_campaign
2013-06-13,27752,19777,151236,0.00347,106.4,organic_search
2013-06-17,28092,21312,92163,0.00378,152.1,organic_search
2013-06-21,-100,21451,103139,0.00566,139.1,email_campaign
2013-06-22,26367,21250,113536,0.00407,255.4,paid_search
2013-06-24,26497,21120,97404,0.00364,178.5,paid_search
2013-06-29,28947,21255,158795,0.00327,305.7,organic_search
2013-07-07,19573,15181,74366,0.00554,219.4,paid_search
2013-07-10,22911,17844,91089,0.00504,214.5,organic_search
2013-07-12,21395,17049,79697,0.0046,106.4,referral
2013-07-14,19989,14732,82309,0.00387,208.7,paid_search
2013-07-23,20992,16978,97061,0.00414,201.3,social_media
2013-07-24,23873,18037,83203,0.00565,202.2,email_campaign
2013-07-25,24318,18975,100129,0.00497,186.2,direct
2013-07-27,18198,12889,70117,0.00462,279.9,social_media
2013-08-06,21270,15427,110319,0.00402,315.4,organic_search
2013-08-09,21871,16990,105802,0.00368,317.0,organic_search
2013-08-12,24576,17742,103910,0.00536,219.8,direct
2013-08-16,21594,15178,70937,0.0042,127.9,paid_search
2013-08-22,20674,16052,88395,0.00368,108.9,paid_search
2013-08-24,22020,16468,117994,0.0054,253.3,organic_search
2013-08-25,23027,18302,124556,0.00326,316.9,social_media
2013-08-29,23147,16818,83676,0.00408,183.8,organic_search
2013-09-01,17091,12233,74574,0.00518,106.8,referral
2013-09-04,16020,12505,55806,0.00437,176.3,email_campaign
2013-09-10,17160,14066,72179,0.00438,268.7,referral
2013-09-16,16977,12773,84823,0.00353,102.7,organic_search
2013-09-18,19581,14167,80144,0.00458,158.9,organic_search
2013-09-27,15631,12772,85398,0.00532,292.3,organic_search
2013-09-28,19359,15652,74052,0.00382,154.5,paid_search
2013-10-01,13710,9680,52584,0.00324,209.8,email_campaign
2013-10-03,13080,9748,44993,0.00499,125.5,organic_search
2013-10-14,14459,11334,50446,0.00413,231.0,organic_search
2013-10-21,12745,9506,53990,0.00578,274.1,organic_search
2013-10-22,14589,10511,47642,0.00338,207.1,direct
2013-10-26,12422,8842,45914,0.00452,197.1,organic_search
2013-10-31,15782,12006,85169,0.00421,193.6,referral
2013-11-02,11668,9313,57812,0.00481,183.2,direct
2013-11-04,10715,8320,47693,0.00409,266.8,email_campaign
2013-11-07,9896,7936,41435,0.00372,271.6,direct
2013-11-08,11835,9472,50627,0.00447,235.1,organic_search
2013-11-09,11950,8786,61115,0.00577,316.8,social_media
2013-11-14,10545,7419,41667,0.00497,139.8,email_campaign
2013-11-16,10651,7729,53104,0.00423,159.4,social_media
2013-11-20,11167,9011,38482,0.00329,136.0,social_media
2013-12-03,14986,12043,65628,0.00503,162.8,organic_search
2013-12-05,12296,8669,53642,0.00329,227.5,referral
2013-12-06,12192,9853,54072,0.00459,254.2,paid_search
2013-12-07,12562,8902,51547,0.00444,184.5,paid_search
2013-12-08,13175,9415,45023,0.00462,178.1,organic_search
